PostID,post_text,Image
9311545232201767,"Prosotas dubiosa
Noakhali 

December-2024",https://scontent.fdac5-1.fna.fbcdn.net/v/t39.30808-6/482304964_1304112874205225_1478506328020224730_n.jpg?stp=dst-jpg_s720x720_tt6&_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeFZL6-07z0VQgo1-jVxlTJMXy2V8gf2kRxfLZXyB_aRHGUAX5Igpn2hhiHcMMc9s32BO_oh2ElUV5qt6XqnZHPi&_nc_ohc=Sz_Mj4NSojAQ7kNvwFXky2Q&_nc_oc=AdlYysaieK3R4gHrIoNJ5DEChceUxzkHIJDoqBMW4IiHA_l9vZzCTSONOLgEHMyFPew&_nc_zt=23&_nc_ht=scontent.fdac5-1.fna&_nc_gid=9583QKOjpV1o5NMOt-h_ew&oh=00_AfU93cVfQXamCt_pruXnACNC1PT81X3K-V8zCd_kMnl3FA&oe=689EE6DD
9293253854030905,"অমরাবতী, মৌলকংকা
Painted Jezebel || Delias hyparete

Chittagong , Bangladesh || December, 2024",https://scontent.fdac5-2.fna.fbcdn.net/v/t39.30808-6/511377214_9771987432912695_5072739651239999433_n.jpg?stp=dst-jpg_p526x296_tt6&_nc_cat=101&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeGRtrzJoHw269ieBaRzVKmYhFU5vtBubP6EVTm-0G5s_gT_Irh7pu4cXZUhWqRyhUMC3MQI_c-dSmh1RJVpUEXO&_nc_ohc=59aE55PD96cQ7kNvwF8ErTx&_nc_oc=AdkaT3GWADazMuBAgKOcH0_VpGajr95XQz1_aLP-49X7ioGV6YvFEDn3sIiUJ5cUBxM&_nc_zt=23&_nc_ht=scontent.fdac5-2.fna&_nc_gid=E1_Gr60S5B4LwvwG6cMSGw&oh=00_AfWNReQECMfVqaALRivd0UoAetyiYfbAmn8Ok6U7JKc-vw&oe=689EE86C
9310553615634262,"Updated Id - Purple-glazed Oakblue
January 2025
Chittagong University",https://scontent.fdac5-1.fna.fbcdn.net/v/t39.30808-6/513554608_23973662365624906_4191358140670364490_n.jpg?stp=dst-jpg_p180x540_tt6&_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeFB26x_8Xd5fNVeo1s2uvak0k5fs4dRge7STl-zh1GB7lfS18luR9Iq3tpd4rNdJMSGHoBVH9QJi_s5Gsi_kv9u&_nc_ohc=nJEqnOmQPlcQ7kNvwGGyzqB&_nc_oc=AdnZ5r5QWKi68RzmUCmrT0ho39WNBpbNeTYnLQT0cxMiUtafq4OBrddUNZ_-36z8EeQ&_nc_zt=23&_nc_ht=scontent.fdac5-1.fna&_nc_gid=E1_Gr60S5B4LwvwG6cMSGw&oh=00_AfV3kEml5cnMRiIDnMKkoe0go6jECRHfFIJ7cPXKghAKtA&oe=689ED834
9298625150160442,"Life cycle of cotton leaf moth

Scientific name: spodoptera litura

Though it is a pests.it is good for observing a moth life cycle",https://scontent.fdac5-1.fna.fbcdn.net/v/t39.30808-6/491833861_2116057298892892_4130137924853357183_n.jpg?stp=dst-jpg_p526x296_tt6&_nc_cat=105&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeHDwHv5DLOVn7g4wy88yhLsvZJW0KJUsyW9klbQolSzJV5UdXs0TOBaVtn49ybLDqEFkzqwgyUQDDXsRS_2lnVQ&_nc_ohc=Y-Nr-BP6pxsQ7kNvwEZ2gBA&_nc_oc=AdllWhfqEpuihZAkgL5--aAQVCVBNi0MxaajT0CoVtI1alE7DHgTpiL2uemiVsal07Y&_nc_zt=23&_nc_ht=scontent.fdac5-1.fna&_nc_gid=E1_Gr60S5B4LwvwG6cMSGw&oh=00_AfVjFrd2_5LanagIGLYQsNEHR-4zP61j-fGnRDGwmoQAAA&oe=689EE23B
9309343605755263,Leptosia nina ,https://scontent.fdac5-1.fna.fbcdn.net/v/t39.30808-6/481987189_1303844150898764_4104385555637618841_n.jpg?stp=dst-jpg_s720x720_tt6&_nc_cat=100&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeESjQlZuUqdHPrYxUAhakzr7wUphdEnlvDvBSmF0SeW8Hh1v3UWFUQCUoPfCP2Yp8ewy7jJmYfO60JFdig8iImZ&_nc_ohc=E0qcfFfdcFQQ7kNvwG-EM0M&_nc_oc=AdlHZG-udWq0LiT_8SzI4OShTXwGo2UYUljRmLRGYKjuNHuoTTiopK8HH2Vdsw89jJ8&_nc_zt=23&_nc_ht=scontent.fdac5-1.fna&_nc_gid=iMNdRgEjboSbvv3MQP2kcg&oh=00_AfWGamN8jBOBMbmNQWnri1mi355DH_pRdG6cvgEAftjHcA&oe=689EB687
9304688709554086,"Small Palm Bob 

(Suastus minuta)

January 2025 
HWS, Chittagong",https://scontent.fdac5-1.fna.fbcdn.net/v/t39.30808-6/512705211_9929819537130568_1113017429553896052_n.jpg?stp=dst-jpg_p843x403_tt6&_nc_cat=110&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeFJ4Sdv-QJkUqjKMsl5mg0zI-Qk8fZsR_Ij5CTx9mxH8gBMixLfD8uIrd03RtcRO5Ns3UfDc0lNfWynMEKYwJrX&_nc_ohc=KpywkhN8kDwQ7kNvwF0TGFD&_nc_oc=AdndqRcxsHm-02fAn1RO9yJJTO8VrfgeLV5b25MHQqDPb0yLKfZrNSUo7roszdwR8to&_nc_zt=23&_nc_ht=scontent.fdac5-1.fna&_nc_gid=iMNdRgEjboSbvv3MQP2kcg&oh=00_AfUEouI0-NHweL4IRdBA9azuoXBDJaOfunHfafP8IFynkQ&oe=689EB976
9309187549104202,,
9309177022438588,,
9305674512788839,"Red-spot Jezebel
Delias descombesi
কঙ্কা  
Cox’s Bazar 
26 January 2025",https://scontent.fdac5-2.fna.fbcdn.net/v/t39.30808-6/489285625_2134244887008841_8822469333867196037_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=102&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeExh9ue82y7_SMaT9A1IoAQGvwPvXgYP2Aa_A-9eBg_YK7K0L4mWNzCJeIRxN0cncUfUVStVbspuUS4_4rirWOU&_nc_ohc=XokbMH4rUf8Q7kNvwGkzPvU&_nc_oc=AdlG8Gb0oNCJBwoWZywZ3Uigzvf3wa4eXjHLS8TvTdJYgDs-B61k97zV7NwnUh4aZVc&_nc_zt=23&_nc_ht=scontent.fdac5-2.fna&_nc_gid=V32KW55POnOke1y0nXOgyw&oh=00_AfVQftsObpRoU5ThyTNotGfPLj3sNqisBFWFgxkd93yaAA&oe=689EE5F3
9306161132740177,"Great swift. 😍🦋

Chittagong University 
January, 25",https://scontent.fdac5-1.fna.fbcdn.net/v/t39.30808-6/482069801_1355098698979011_8073040878596813547_n.jpg?stp=dst-jpg_p180x540_tt6&_nc_cat=105&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeGmUa3FcJk2F3yrF8dx1-XxM6wPKdr2dN4zrA8p2vZ03ofjprW6gfYHvQhPtv_JU_H0i_alh66w0wDs5cWiHpIu&_nc_ohc=uw8ybhF_QygQ7kNvwFcdU5I&_nc_oc=AdnPZIxqNMeKH5FZNNJc3RzHDz0kL6EsROahj2hb_nnBQoAczI5OFrPRR2WIs_84e4Y&_nc_zt=23&_nc_ht=scontent.fdac5-1.fna&_nc_gid=V32KW55POnOke1y0nXOgyw&oh=00_AfVwY_W_4Ke_92zygG1OkY54MT45a1fwPsZsGBqbVsEuxA&oe=689EC869
